"","popsize","genotype","media","mat","sd.ls","medianLS","Delta_LL","AvgLS","gompLoglik","gompRate","gompShape","weibLogLik","weibScale","weibShape"
"48","60","BY4742","YPD","MATalpha","8.53480742917539","19","3.28984057249335","21.0666666666667","-215.539190791765","0.0093566219526445","0.0987033843102518","-212.249350219272","23.7072213565064","2.68048989500938"
"49","40","BY4742","YPD","MATalpha","9.32734469044427","26.5","0.17351381501004","26.225","-145.821189351158","0.0043140131026278","0.106781963178841","-145.647675536148","29.2678107974281","3.15763841426853"
"50","40","BY4742","YPD","MATalpha","10.4169179456872","19.5","1.58763010598699","19.275","-148.566376679127","0.0178603488627468","0.0680162248825194","-146.97874657314","21.8505373238428","2.00117339331104"
"51","80","BY4742","YPD","MATalpha","9.67523263711413","27.5","5.2752755516014","27.6","-299.202747731792","0.00516299212989518","0.0915299491093638","-293.927472180191","30.8622688040664","3.12916956665722"
"52","80","BY4741","YPD","MATa","10.742998897722","33","3.64854098061016","32.925","-305.918207184968","0.00304601229540469","0.0902033199947672","-302.269666204358","36.6801331125271","3.42802510686973"
"53","40","BY4742","YPD","MATalpha","9.68265697801209","19","0.7209603856397","20.3","-147.107074877765","0.0136246180492377","0.0797142614241084","-146.386114492125","22.8615806701399","2.22333205917074"
"54","80","HHF2 WT","YPD","MATa","7.54789559069952","18","12.4722167910103","18.9375","-285.962458740535","0.0165314195145891","0.0806844661593261","-273.490241949525","21.2630505958312","2.61077848982258"
"55","38","BY4742","YPD","MATalpha","10.9621098362765","20.5","-4.1091309887077","21.3157894736842","-141.840530449427","0.0117485735182878","0.0802868172804266","-145.949661438135","23.6846897691056","1.8976766659648"
"56","60","BY4742","YPD","MATalpha","7.89507462851559","21","0.102519919644976","22.2","-208.491186995336","0.00476036296472946","0.12939541653854","-208.388667075691","24.8086089156311","3.15779182090016"
"57","60","BY4741","YPD","MATa","9.47217155135532","25","3.07884020356741","25.2","-222.727039561313","0.00690268084463012","0.0898305447777454","-219.648199357745","28.2028122330249","2.87977228165444"
"58","80","BY4741","YPD","MATa","9.75390217271717","24","10.2533966797364","26.275","-304.493526014478","0.00835153075952536","0.0753213968299927","-294.240129334742","29.4711301638622","2.8385504238054"
"59","36","BY4742","YPD","MATalpha","16.1607745767533","23","-1.59939783592594","20.9722222222222","-143.254597560184","0.0281505734314108","0.0281810189361308","-144.85399539611","22.1643256519165","1.18505478576621"
"60","40","BY4741","YPD","MATa","10.7392164160505","28.5","2.12716414482395","28.45","-152.400293544219","0.0051743640515773","0.086257697822018","-150.273129399396","31.9843449780834","2.95710570088224"
"61","40","BY4742","YPD","MATalpha","13.0953113551064","31.5","2.79641174582918","34","-160.931570389279","0.0049912074965986","0.0669643557344212","-158.135158643449","38.2615748313551","2.86861947161028"
"62","40","BY4741","YPD","MATa","10.3192314859944","31.5","3.88442555066607","33.025","-153.452985151844","0.00342566871828397","0.0859995139231521","-149.568559601178","36.7377072458823","3.47453724413165"
"63","79","CEN.PK122  prototroph (parental strain)","YPD",NA,"4.77915385681891","10","3.38569368686223","10.9240506329114","-236.446137377587","0.0208341638309885","0.171930768204796","-233.060443690725","12.3301690821969","2.47476210522924"
"64","60","BY4742","YPD","MATalpha","8.40626279849067","27","4.69764281242092","27.25","-217.004239606874","0.00377771765549721","0.108693502489465","-212.306596794453","30.2606543819357","3.55651655612722"
"65","60","BY4741","YPD","MATa","9.80941263640114","25","1.37639166327142","25.75","-222.418757697576","0.00568969255472574","0.0956163007121297","-221.042366034305","28.8865085604674","2.91745251284374"
"66","80","BY4741","YPD","MATa","10.5433403301068","28","-0.544777153344057","29.55","-300.518315500725","0.00350135986970226","0.0980744288779147","-301.06309265407","33.0195193319622","3.16384327893508"
"67","60","BY4742","YPD","MATalpha","8.91352048618429","27","2.84529256630105","29.2","-219.026862661213","0.00293883518799333","0.108879940220435","-216.181570094912","32.3607754206011","3.61819956019288"
"68","80","BY4741","YPD","MATa","10.5433403301068","28","-0.544777153344057","29.55","-300.518315500725","0.00350135986970226","0.0980744288779147","-301.06309265407","33.0195193319622","3.16384327893508"
"69","40","BY4742","YPD","MATalpha","11.3894913328257","26","1.89627246114239","27.35","-155.135778399244","0.00793673610096305","0.0715853270590206","-153.239505938101","30.7431368567452","2.58606085255164"
"70","40","BY4742","YPD","MATalpha","12.1127184693589","35.5","1.38584673118666","35.5","-157.009699084085","0.00298862084662989","0.0813436825116042","-155.623852352899","39.6241126287942","3.3071268454059"
"71","40","BY4741","YPD","MATa","12.9989151421107","26","1.41819894554729","26.05","-158.405388490531","0.0114752857989695","0.0578666944476922","-156.987189544984","29.4713080869394","2.15999599853162"
"72","40","BY4742","YPD","MATalpha","8.66376923953411","15.5","5.04919752502045","17.625","-145.71206904576","0.024853613308266","0.0596854883960615","-140.662871520739","19.8453303782285","2.12426772865163"
"73","80","BY4742","YPD","MATalpha","10.4723868375815","22","6.96785674677949","24.5","-305.135779163462","0.0102869621180446","0.0719437112522101","-298.167922416683","27.660589306425","2.51755714307987"
"74","40","BY4742 ","YPD","MATalpha","11.3077860627545","13.5","-1.01341317959088","16.325","-147.748334783149","0.0331053550125943","0.0437576095646483","-148.76174796274","17.8338273146487","1.40056324809964"
"75","40","BY4742","YPD","MATalpha","12.0106790089657","33.5","1.94166186626805","32.5","-157.026123905815","0.00448949957283819","0.0763187914352239","-155.084462039547","36.4453256243055","3.02113152892356"
