"","genotype","mat","media","temp","n","avgLS","StddevLS","medianLS","gompShape","gompRate","gompLogLik","gompAIC","weibShape","weibScale","weibLogLik","weibAIC"
"69","pnc1 rpl20b","MATalpha","YPD",30,260,39.3423076923077,13.3879641987714,40,0.0737212267755605,0.00267616494552275,-1045.98190485569,2095.96380971138,3.2889363807322,43.8485362132445,-1042.42939352504,2088.85878705007
"70","tor1","MATalpha","YPD",30,2823,32.1225646475381,11.7373753012512,33,0.082701102850051,0.00392552973136821,-10963.6355805713,21931.2711611426,3.03517864916418,35.9408841715737,-10950.5100455505,21905.020091101
"71","hmo1","MATalpha","YPD",30,801,19.039950062422,7.35889950994734,18,0.0933970853125252,0.0135318672827792,-2823.07006194866,5650.14012389733,2.73845600928635,21.4071100537888,-2718.12779037623,5440.25558075246
"72","pkh2","MATalpha","YPD",30,205,30.3268292682927,10.6003843897712,31,0.0934250373056632,0.00364176685429746,-775.310183041641,1554.62036608328,3.21572848946239,33.8658665723284,-773.105536201061,1550.21107240212
"73","pkh2 tor1","MATalpha","YPD",30,80,34.1,11.0735172736636,36,0.112177933875146,0.00143556990670447,-297.674067532338,599.348135064677,3.65524064159245,37.6960606246114,-305.925632025789,615.851264051578
"74","fob1 pkh2","MATalpha","YPD",30,40,34.95,12.1506568356802,37.5,0.0866578516203948,0.00271898343959413,-155.152208599035,314.304417198069,3.06945714001837,38.513173010466,-159.384348081215,322.76869616243
"75","hmo1 pkh2","MATalpha","YPD",30,120,19.9666666666667,7.86432572110407,17.5,0.0905934667565871,0.0124323268351551,-429.432680774904,862.865361549807,2.69700654105365,22.4851895691103,-413.792069222016,831.584138444031
"76","tis11","MATalpha","YPD",30,100,31.75,10.2989408105,31,0.0879268495806874,0.0036760703094911,-381.423348990197,766.846697980394,3.38405464262709,35.3823654129952,-373.919254907868,751.838509815736
"77","tis11 tor1","MATalpha","YPD",30,40,42.675,11.2007039613932,44.5,0.105637299555136,0.000678455390986942,-151.504802590022,307.009605180045,4.62031723895957,46.8151221504472,-151.874590838055,307.749181676109
"78","fob1 tis11","MATalpha","YPD",30,40,43.025,13.3924730103642,45,0.0926034222189234,0.00101551493383909,-156.323898541795,316.647797083589,3.73027748938148,47.2285151550718,-161.671379916504,327.342759833008
"79","hmo1 tis11","MATalpha","YPD",30,40,17.6,6.1427463998877,17,0.154789538941676,0.00684452389407887,-130.400419503334,264.800839006667,3.20934719106003,19.6996874049724,-128.207688041919,260.415376083838
"80","ygr130c","MATalpha","YPD",30,140,25.5357142857143,11.4108434572992,24.5,0.0667222833620384,0.0102716279271722,-542.439588486599,1088.8791769732,2.40230686868566,28.8260708101234,-535.080045298476,1074.16009059695
"81","tor1 ygr130c","MATalpha","YPD",30,80,33.35,10.6534596508198,33,0.0955514030817179,0.00251871081514863,-303.789499581938,611.578999163876,3.55225022434744,37.1077632783559,-301.365852639696,606.731705279393
"82","fob1 ygr130c","MATalpha","YPD",30,40,37.675,10.5353799537193,41,0.121727457996689,0.000713266302627917,-146.382949071386,296.765898142771,4.45608486190377,41.2536999515077,-149.678352618999,303.356705237999
"83","hmo1 ygr130c","MATalpha","YPD",30,100,21.4,6.11671001553461,21,0.143815113918448,0.00448643721577391,-332.905292177652,669.810584355303,3.77547123190864,23.647737139488,-323.311368637413,650.622737274825
"84","HHT2 WT","MATa","YPD",30,239,16.5020920502092,7.66410079416286,16,0.0697311142082805,0.0247439428178204,-848.083218447846,1700.16643689569,2.25870371855575,18.6452756275481,-811.598709273367,1627.19741854673
"85","HHF2 WT","MATa","YPD",30,140,16.6071428571429,7.59372746508442,15,0.0767560567923679,0.0223324893201815,-493.781911361042,991.563822722084,2.30909590294106,18.7621767552435,-475.1178221827,954.2356443654
"86","916]) hht2([del","MATa","YPD",30,20,11.45,4.07140218959926,10.5,0.215890717086292,0.0129851484006342,-57.4393598369881,118.878719673976,3.12022825059528,12.8167882493219,-55.6899057690881,115.379811538176
"87","532]) hht2([del","MATa","YPD",30,19,5.52631578947368,2.38905888148059,5,0.331173538525218,0.0432860510191759,-43.8854775492416,91.7709550984833,2.56430612097803,6.24286291779954,-42.2997297713582,88.5994595427164
"88","hhf2(I46A)","MATa","YPD",30,19,8.26315789473684,4.40759578282711,9,0.158511696531944,0.0423244862918756,-54.1990641881301,112.39812837626,1.92328399351129,9.24109774955959,-54.6134889278595,113.226977855719
"89","hht2(L61A)","MATa","YPD",30,60,15,5.56014876035598,14,0.140287563884963,0.0132650904260902,-193.09836039116,390.196720782321,2.90499981039364,16.8296078763121,-186.67272696329,377.345453926579
"90","112]) hhf2([del","MATa","YPD",30,20,12.1,4.65550042535991,12,0.186329265297042,0.0143509048455289,-59.787163345924,123.574326691848,2.89693276941183,13.6111037182977,-58.1220694079385,120.244138815877
"91","hhf2(Q27E)","MATa","YPD",30,20,12.9,3.95900040547186,12,0.265812643692893,0.00538773074315737,-55.8929863195769,115.785972639154,3.77274689703829,14.3126219196247,-55.1604486543923,114.320897308785
"92","sir2","MATalpha","YPD",30,1497,14.2077488309953,6.15032226632497,13,0.0770213503587886,0.0305420044765818,-5081.36548992251,10166.730979845,2.35931297372738,15.9959903703246,-4779.15094827044,9562.30189654088
"93","sir2'","MATalpha","YPD",30,80,29.9125,11.1663982271406,28,0.0822286021176212,0.00491827729853782,-308.415402397717,620.830804795434,2.97010461692672,33.5963122930278,-304.492658945966,612.985317891931
"94","rpn4","MATalpha","YPD",30,823,15.2636695018226,7.83790960063139,14,0.0842887969240906,0.0233232154004378,-2857.2499994963,5718.49999899261,2.04632227679724,17.237369933996,-2819.26876198447,5642.53752396893
"95","ubr2","MATalpha","YPD",30,1265,36.8229249011858,12.6571243502595,39,0.0874671854120677,0.00217377149194055,-4946.77492626606,9897.54985253212,3.31637764508201,40.9657874157867,-5013.7368112654,10031.4736225308
"96","tom1","MATalpha","YPD",30,205,32.7317073170732,11.7448870607929,32,0.0796265712823481,0.00404768895137732,-800.175566166174,1604.35113233235,3.03843956760207,36.5270777656426,-797.647916948472,1599.29583389694
"97","pib1","MATalpha","YPD",30,235,32.2425531914894,12.325564855572,32,0.074814516731642,0.00470838799987261,-927.356687688785,1858.71337537757,2.87680232082982,36.2124198154477,-920.018704665727,1844.03740933145
"98","fob1 rpn4","MATalpha","YPD",30,160,17.425,10.3087860188477,17,0.0630513693133717,0.0230774716250089,-587.236524685532,1178.47304937106,1.70448865596928,19.4834855294734,-589.98885220113,1183.97770440226
"99","rpn4 ubr2","MATalpha","YPD",30,180,16.6333333333333,10.0256096653526,14,0.0479071372205049,0.0310700486581378,-661.439996023801,1326.8799920476,1.78288098375569,18.808429162291,-646.164250513561,1296.32850102712
"100","rpn4 tom1","MATalpha","YPD",30,60,25.1833333333333,11.1803272543394,23,0.0773074363021888,0.00849673808484102,-229.272900914526,462.545801829053,2.4490877783123,28.4250407687804,-228.064053392837,460.128106785674
"101","msn2 msn4","MATalpha","YPD",30,663,29.1493212669683,10.7170571045756,29,0.0894165442924156,0.00450512248671422,-2516.81847965642,5037.63695931284,2.99266810715174,32.5905078383981,-2515.3220488913,5034.6440977826
"102","fob1 msn2 msn4","MATalpha","YPD",30,324,34.7746913580247,11.736866379583,36,0.0879068240027109,0.00266776739276688,-1253.74411605585,2511.4882321117,3.34399023002517,38.6807920800894,-1258.42530182585,2520.85060365171
"103","gpr1 msn2 msn4","MATalpha","YPD",30,100,34.08,11.6051886688845,35,0.0941238916560021,0.00236950706813762,-383.733125481956,771.466250963913,3.38089883416884,38.0078258025256,-385.496290615989,774.992581231977
"104","sok1","MATalpha","YPD",30,764,37.3782722513089,12.9114170838526,40,0.0830141258184994,0.00236200138965193,-3014.2255069219,6032.45101384379,3.29452316565459,41.650848733503,-3037.91840044422,6079.83680088845
"105","msn2 msn4 sok1","MATalpha","YPD",30,80,33.075,12.6478846983111,35.5,0.0840064424359254,0.00338325230437918,-312.832376309728,629.664752619456,2.94891588133717,37.0671489278068,-315.8052262979,635.6104525958
"106","sch9","MATalpha","YPD",30,2200,35.7440909090909,12.4678927929541,37,0.0789049422661767,0.00314013898673508,-8674.82612363331,17353.6522472666,3.20797348646135,39.8475861504565,-8677.35739777992,17358.7147955598
"107","msn2 msn4 rpl20b","MATalpha","YPD",30,180,28.4111111111111,10.1940879398862,29,0.091364468250209,0.00469660659348388,-677.72682237647,1359.45364475294,3.06498766896053,31.762309911485,-672.600115223092,1349.20023044618
"108","hap4 sch9","MATalpha","YPD",30,120,36.7166666666667,14.7261747948894,37,0.0590986121675721,0.00501870871299385,-494.961502061016,993.923004122033,2.7243152929079,41.268417051202,-491.327436270428,986.654872540855
